split,snapshot_time,score_family,top_k,horizon_min,paired_sessions,leader_session_avg_atr,bottom_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
VALIDATION,09:45,MOMENTUM_VOLUME,1,60,125,-0.0662378914505811,-0.1021604663277337,0.03592257487715262,-0.25314893033583136,0.34792917567396053,0.536
VALIDATION,09:45,MOMENTUM_VOLUME,1,120,125,0.05527787490551322,-0.14958936931851302,0.2048672442240262,-0.1668622202046567,0.5810093915947008,0.544
VALIDATION,09:45,MOMENTUM_VOLUME,3,60,125,-0.11210658463442605,-0.1021604663277337,-0.009946118306692415,-0.20450597099817908,0.1882426941716042,0.512
VALIDATION,09:45,MOMENTUM_VOLUME,3,120,125,-0.10877733386672556,-0.14958936931851302,0.040812035451787514,-0.20932097624986537,0.27209839534628083,0.528
VALIDATION,09:45,MOMENTUM_VOLUME,5,60,125,-0.01471253833481533,-0.1021604663277337,0.08744792799291835,-0.10135402701396577,0.2752196164072102,0.536
VALIDATION,09:45,MOMENTUM_VOLUME,5,120,125,0.013288764487563845,-0.14958936931851302,0.1628781338060769,-0.03825008376476121,0.37788918011591194,0.584
VALIDATION,09:45,QUALITY_3,1,60,125,-0.07488378049209413,-0.06615820656222295,-0.008725573929871205,-0.2959899499280784,0.28195051069241206,0.488
VALIDATION,09:45,QUALITY_3,1,120,125,-0.08280373878417116,-0.10844391192598125,0.025640173141810135,-0.3892347393123344,0.40580610205009293,0.48
VALIDATION,09:45,QUALITY_3,3,60,125,-0.11953688616579093,-0.06615820656222295,-0.05337867960356802,-0.2655256267565001,0.17120375780187994,0.512
VALIDATION,09:45,QUALITY_3,3,120,125,-0.11643094094517654,-0.10844391192598125,-0.007987029019195244,-0.279942554262879,0.23573980152809,0.528
VALIDATION,09:45,QUALITY_3,5,60,125,-0.06859999209414026,-0.06615820656222295,-0.0024417855319173168,-0.17328802654177627,0.1774020065112981,0.464
VALIDATION,09:45,QUALITY_3,5,120,125,-0.06432963708999326,-0.10844391192598125,0.04411427483598798,-0.13885212902877514,0.23955873615695916,0.56
VALIDATION,09:45,FULL_4,1,60,125,0.018976398688798277,-0.09126352462051383,0.1102399233093121,-0.23269281752806936,0.4192211812060623,0.536
VALIDATION,09:45,FULL_4,1,120,125,-0.06354464295544805,-0.1272510924439436,0.06370644948849553,-0.27556069173211917,0.4101119679143524,0.536
VALIDATION,09:45,FULL_4,3,60,125,-0.0427987577822615,-0.09126352462051383,0.04846476683825235,-0.1679698812220614,0.2681479223557591,0.488
VALIDATION,09:45,FULL_4,3,120,125,-0.07157262026779561,-0.1272510924439436,0.05567847217614798,-0.21174711851536612,0.315189175658335,0.52
VALIDATION,09:45,FULL_4,5,60,125,-0.02398425811779152,-0.09126352462051383,0.06727926650272233,-0.12250659133522318,0.25028846441382807,0.568
VALIDATION,09:45,FULL_4,5,120,125,-0.023570065054162533,-0.1272510924439436,0.10368102738978106,-0.11226027130659906,0.3465359319089363,0.552
VALIDATION,10:00,MOMENTUM_ONLY,1,60,124,-0.2556534395089686,-0.04932305658275822,-0.20633038292621034,-0.4235217340302172,0.038345745552749264,0.4112903225806452
VALIDATION,10:00,MOMENTUM_ONLY,1,120,124,-0.12302363931323239,-0.12037641704297854,-0.0026472222702538704,-0.33876595849215274,0.3206713728412996,0.4838709677419355
VALIDATION,10:00,MOMENTUM_ONLY,3,60,125,-0.026398167037678066,-0.046248543333928055,0.019850376296249996,-0.17300521554094161,0.20909243967567143,0.496
VALIDATION,10:00,MOMENTUM_ONLY,3,120,125,0.06888005614919211,-0.11572095190641463,0.18460100805560678,-0.04204584663169305,0.40719613880941585,0.576
VALIDATION,10:00,MOMENTUM_ONLY,5,60,125,0.04952635216040669,-0.046248543333928055,0.09577489549433474,-0.05255333626842443,0.24260575647917237,0.528
VALIDATION,10:00,MOMENTUM_ONLY,5,120,125,0.11775000822469832,-0.11572095190641463,0.23347096013111288,0.0472555761646968,0.4316565251399663,0.56
VALIDATION,10:00,MOMENTUM_VOLUME,1,60,125,0.05366862419725945,-0.045668333629573996,0.09933695782683347,-0.16935378741740748,0.36795143954212184,0.536
VALIDATION,10:00,MOMENTUM_VOLUME,1,120,125,0.09486173728407135,-0.11104595452837733,0.20590769181244872,-0.1091464094570152,0.5443066516581254,0.536
VALIDATION,10:00,MOMENTUM_VOLUME,3,60,125,0.055588237916491534,-0.045668333629573996,0.1012565715460655,-0.10065326607871637,0.29111564064712653,0.536
VALIDATION,10:00,MOMENTUM_VOLUME,3,120,125,0.1302721170559472,-0.11104595452837733,0.24131807158432458,0.005981133129188576,0.47790139396122255,0.544
VALIDATION,10:00,MOMENTUM_VOLUME,5,60,125,0.060684713344089765,-0.045668333629573996,0.10635304697366375,-0.04263225513586434,0.25143205460194856,0.512
VALIDATION,10:00,MOMENTUM_VOLUME,5,120,125,0.11664412969752033,-0.11104595452837733,0.22769008422589765,0.03171329349797665,0.4282702895342568,0.576
VALIDATION,10:00,QUALITY_3,1,60,125,0.04509377738458214,-0.03628583511964666,0.0813796125042288,-0.22290156106952208,0.38506019159280025,0.496
VALIDATION,10:00,QUALITY_3,1,120,125,0.17475653256223567,-0.10297766408669094,0.27773419664892657,-0.10507945604116407,0.6615440685371875,0.552
VALIDATION,10:00,QUALITY_3,3,60,125,0.04317778354801382,-0.03628583511964666,0.07946361866766047,-0.11117272404903696,0.2625033493915942,0.512
VALIDATION,10:00,QUALITY_3,3,120,125,0.172763923808867,-0.10297766408669094,0.27574158789555786,0.046759868979971295,0.5173567901882907,0.592
VALIDATION,10:00,QUALITY_3,5,60,125,0.046726656324974775,-0.03628583511964666,0.08301249144462144,-0.0793670477894668,0.24731144209473432,0.488
VALIDATION,10:00,QUALITY_3,5,120,125,0.08120778398611168,-0.10297766408669094,0.18418544807280263,-0.03248439660018729,0.3979896318511913,0.6
VALIDATION,10:00,FULL_4,1,60,125,-0.019296048563488474,-0.04662840438161581,0.02733235581812738,-0.2585395013704378,0.3242553850084784,0.48
VALIDATION,10:00,FULL_4,1,120,125,-0.02345778793585125,-0.10784208548555756,0.0843842975497063,-0.2721704365489496,0.45309555020336234,0.496
VALIDATION,10:00,FULL_4,3,60,125,0.03622555293825681,-0.04662840438161581,0.08285395731987263,-0.11031416609476166,0.2567284412356825,0.52
VALIDATION,10:00,FULL_4,3,120,125,0.08300213502393197,-0.10784208548555756,0.19084422050948954,-0.03150283741526614,0.4261816626803599,0.576
VALIDATION,10:00,FULL_4,5,60,125,0.008534417259118098,-0.04662840438161581,0.05516282164073394,-0.09076952112376356,0.2030803484204346,0.52
VALIDATION,10:00,FULL_4,5,120,125,0.036359230248186006,-0.10784208548555756,0.1442013157337435,-0.0585609907144541,0.3458284389133811,0.544
VALIDATION,10:30,MOMENTUM_ONLY,1,60,124,0.19181938200392698,-0.07274104002316364,0.2645604220270906,-0.03959737620393526,0.6104299700656766,0.5403225806451613
VALIDATION,10:30,MOMENTUM_ONLY,1,120,124,0.17305200810132731,-0.028132898988907144,0.20118490709023457,-0.19449303346623054,0.5815061454004185,0.49193548387096775
