split,snapshot_time,cohort,benchmark,horizon_min,leader_events,paired_sessions,leader_session_avg_atr,benchmark_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,10:30,PERSIST_3_CONFIRMED,BOTTOM50,120,964,393,-0.02297808037963832,-0.002064261151708127,-0.02091381922793019,-0.19785854780414636,0.1556950186694945,0.5012722646310432
DEV,11:00,PERSIST_1,REST,30,4489,449,0.03915018635558742,0.024352264812788488,0.014797921542798924,-0.03553017849117899,0.07247299350244388,0.5100222717149221
DEV,11:00,PERSIST_1,BOTTOM50,30,4489,449,0.03915018635558742,0.029919116915543966,0.00923106944004344,-0.052610723190063595,0.07212212661892377,0.49443207126948774
DEV,11:00,PERSIST_1,REST,60,4489,449,0.02609234355228207,-0.018189944635326027,0.04428228818760809,-0.031028515055217785,0.11618221699142828,0.512249443207127
DEV,11:00,PERSIST_1,BOTTOM50,60,4489,449,0.02609234355228207,-0.02694903023047302,0.0530413737827551,-0.02514596569357875,0.13387713615391614,0.512249443207127
DEV,11:00,PERSIST_1,REST,120,4489,449,0.02061099851309287,-0.06456121342451439,0.08517221193760725,-0.010881757148462566,0.17044975695746287,0.5300668151447662
DEV,11:00,PERSIST_1,BOTTOM50,120,4489,449,0.02061099851309287,-0.08289824580307732,0.1035092443161702,0.003230528444252035,0.20959031507211184,0.532293986636971
DEV,11:00,PERSIST_1_CONFIRMED,REST,30,1646,425,0.06520341668951517,0.022757327307329052,0.042446089382186136,-0.04626019213285347,0.13223230361864555,0.4823529411764706
DEV,11:00,PERSIST_1_CONFIRMED,BOTTOM50,30,1646,425,0.06520341668951517,0.02977309208190427,0.03543032460761091,-0.06472329129465904,0.1290864770275105,0.4894117647058824
DEV,11:00,PERSIST_1_CONFIRMED,REST,60,1646,425,0.06499310270651229,-0.021973097608550603,0.08696620031506287,-0.043790470735682374,0.20075679284672476,0.5176470588235295
DEV,11:00,PERSIST_1_CONFIRMED,BOTTOM50,60,1646,425,0.06499310270651229,-0.029625804845731532,0.0946189075522438,-0.035232699234165055,0.23385782143890962,0.5294117647058824
DEV,11:00,PERSIST_1_CONFIRMED,REST,120,1646,425,0.019290556723753714,-0.07579477136158343,0.09508532808533712,-0.07970663431431292,0.25903595352670417,0.4964705882352941
DEV,11:00,PERSIST_1_CONFIRMED,BOTTOM50,120,1646,425,0.019290556723753714,-0.09308654266939484,0.11237709939314858,-0.05249495132245719,0.28608667809684646,0.4964705882352941
DEV,11:00,PERSIST_2,REST,30,3490,449,0.03356450945532945,0.025232001207190026,0.008332508248139433,-0.04765537485114324,0.06794932033646764,0.48329621380846327
DEV,11:00,PERSIST_2,BOTTOM50,30,3490,449,0.03356450945532945,0.029919116915543966,0.003645392539785479,-0.05991422832251353,0.06540513679425454,0.4766146993318486
DEV,11:00,PERSIST_2,REST,60,3490,449,0.01194065092570318,-0.015795250988091154,0.02773590191379434,-0.050310990870478405,0.10745164201995122,0.512249443207127
DEV,11:00,PERSIST_2,BOTTOM50,60,3490,449,0.01194065092570318,-0.02694903023047302,0.03888968115617621,-0.0499462137876656,0.12814984727215162,0.5233853006681515
DEV,11:00,PERSIST_2,REST,120,3490,449,0.016449516048606408,-0.06120777059755783,0.07765728664616425,-0.01962099896916485,0.1709464084483461,0.5100222717149221
DEV,11:00,PERSIST_2,BOTTOM50,120,3490,449,0.016449516048606408,-0.08289824580307732,0.09934776185168374,-0.00289224630767484,0.21584928537009312,0.534521158129176
DEV,11:00,PERSIST_2_CONFIRMED,REST,30,1219,405,0.05198469799449603,0.025118381135765578,0.02686631685873046,-0.06312404771886139,0.11660430306380162,0.4839506172839506
DEV,11:00,PERSIST_2_CONFIRMED,BOTTOM50,30,1219,405,0.05198469799449603,0.029224694548483355,0.022760003446012693,-0.07302336711709127,0.11737862649481293,0.5012345679012346
DEV,11:00,PERSIST_2_CONFIRMED,REST,60,1219,405,0.01685286236207599,-0.02107588007381214,0.03792874243588816,-0.09343681282759644,0.16549762202350513,0.5111111111111111
DEV,11:00,PERSIST_2_CONFIRMED,BOTTOM50,60,1219,405,0.01685286236207599,-0.03567999289651772,0.05253285525859371,-0.09344265513065139,0.1964401078404869,0.5259259259259259
DEV,11:00,PERSIST_2_CONFIRMED,REST,120,1219,405,0.0066817533995984875,-0.06210932836459795,0.06879108176419646,-0.09242397910352548,0.23420693821437769,0.508641975308642
