split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
VALIDATION,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,120,84,64,0.2258956073266997,-0.03035109804559044,0.25624670537229016,0.20685824692539628,-0.09203510894970182,0.46843390797059165,0.625
DEV,FULL_4,1,10:30,PULLBACK_NEW_HIGH,30,121,121,0.10276782422615914,0.9011454121378702,-0.7983775879117111,-0.7983775879117109,-0.9813177239587064,-0.6124627255572407,0.15702479338842976
DEV,FULL_4,1,10:30,PULLBACK_NEW_HIGH,60,121,121,0.2010817739455647,0.8427509889440443,-0.6416692149984796,-0.6416692149984796,-0.8558619557452536,-0.4264486467679379,0.2066115702479339
DEV,FULL_4,1,10:30,PULLBACK_NEW_HIGH,120,121,121,0.4847159620380598,1.1027693041958024,-0.6180533421577427,-0.6180533421577427,-0.8581430433346491,-0.38307023569618875,0.2231404958677686
DEV,FULL_4,1,11:00,PULLBACK_NEW_HIGH,30,127,127,0.37042698855814343,0.9051166102821739,-0.5346896217240305,-0.5346896217240307,-0.8067808562682395,-0.2252674984250065,0.25984251968503935
DEV,FULL_4,1,11:00,PULLBACK_NEW_HIGH,60,127,127,0.4806349820340955,1.2305813122078202,-0.7499463301737247,-0.7499463301737246,-1.0042415411754142,-0.5201019315256646,0.25196850393700787
DEV,FULL_4,1,11:00,PULLBACK_NEW_HIGH,120,127,127,0.6205688465440806,1.4054566367883512,-0.7848877902442708,-0.7848877902442707,-0.9813672625831654,-0.5824984447947146,0.1968503937007874
DEV,FULL_4,3,10:30,PULLBACK_NEW_HIGH,30,350,253,0.088851929968534,0.8173982377599575,-0.7285463077914235,-0.7184046829253311,-0.834709874983501,-0.5790600679135252,0.233201581027668
DEV,FULL_4,3,10:30,PULLBACK_NEW_HIGH,60,350,253,0.11551293405462766,0.8219316388267232,-0.7064187047720956,-0.659756959671279,-0.8048472913145632,-0.5166687209375452,0.20948616600790515
DEV,FULL_4,3,10:30,PULLBACK_NEW_HIGH,120,350,253,0.18636255401155866,0.8473232581877637,-0.660960704176205,-0.6793601342652242,-0.8030576677003753,-0.5478465493453666,0.17786561264822134
DEV,FULL_4,3,11:00,PULLBACK_NEW_HIGH,30,395,280,0.033172677630163495,0.7866818059136853,-0.753509128283522,-0.802933750909792,-0.9650761191589085,-0.643019204180429,0.21071428571428572
DEV,FULL_4,3,11:00,PULLBACK_NEW_HIGH,60,395,280,0.051868548161997326,0.838969886383158,-0.7871013382211606,-0.8042987187987738,-0.973577289432223,-0.6613901576760812,0.22857142857142856
