split,score_family,top_k,snapshot_time,entry_variant,horizon_min,candidates,triggered,trigger_rate,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,avg_mfe_atr,avg_mae_atr,avg_entry_delay_min,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,60,1347,371,0.27542687453600595,371,267,0.019854608558592435,-0.13008130081303854,0.4716981132075472,1.7453467467400494,-1.530510846927265,22.654986522911052,-0.04087528595474804,-0.2790658187827733,0.18327879230592314
DEV,MOMENTUM_ONLY,3,11:00,PULLBACK_NEW_HIGH,120,1347,371,0.27542687453600595,371,267,0.07561311288982255,-0.14320096269554755,0.4555256064690027,2.34167883456381,-2.0645519914214896,22.654986522911052,0.01317238812322118,-0.2955438039972768,0.3270463668551135
DEV,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,30,1347,227,0.16852264291017074,227,179,-0.18929191883356453,0.011391375101698381,0.5022026431718062,1.073806535927098,-1.2626884246008614,20.066079295154186,-0.1720006108887051,-0.34783035412016144,-0.0007342953650388452
DEV,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,60,1347,227,0.16852264291017074,227,179,-0.2338993115879886,-0.2398042414355513,0.43612334801762115,1.3878992384058548,-1.5710404577604322,20.066079295154186,-0.1889685653801106,-0.4384454360650855,0.06621817335946431
DEV,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,120,1347,227,0.16852264291017074,227,179,-0.3701292955721324,-0.06285072951740603,0.46255506607929514,1.8818240843787823,-2.2607671892859256,20.066079295154186,-0.3087291742047751,-0.6828677554740721,0.06676400875958598
VALIDATION,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,30,125,12,0.096,12,12,-0.0992419558726962,-0.43848270440251813,0.4166666666666667,1.1919842848650972,-1.2894136801656035,28.333333333333332,-0.09924195587269619,-0.792742164428585,0.6312128873175988
VALIDATION,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,60,125,12,0.096,12,12,-0.4456781973441239,-0.7385642174756394,0.16666666666666666,1.5349607104242693,-1.7585987482448031,28.333333333333332,-0.4456781973441238,-1.6666657297051792,0.849975127694474
VALIDATION,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,120,125,12,0.096,12,12,0.09545039717456115,-0.6665917266187038,0.4166666666666667,2.044381717189592,-2.232707112124077,28.333333333333332,0.09545039717456123,-1.376542502405639,1.8322357932120874
VALIDATION,FULL_4,1,10:30,IMMEDIATE,30,125,125,1.0,125,125,-0.1742575294468152,-0.13539651837524178,0.432,0.9829528232738287,-1.1555316505613706,5.0,-0.1742575294468152,-0.4145222894449248,0.050078148115385766
VALIDATION,FULL_4,1,10:30,IMMEDIATE,60,125,125,1.0,125,125,-0.12582181540089682,-0.18567639257294463,0.416,1.3494258850317498,-1.4567479714174905,5.0,-0.12582181540089682,-0.42163250571385663,0.16432000819869794
